=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.08.22 12:01:53 =~=~=~=~=~=~=~=~=~=~=~=
100.00,2.844017
101.00,2.844017
102.00,2.842796
103.00,2.844628
104.01,2.844628
105.01,2.844017
106.00,2.843407
107.01,2.842185
108.01,2.842185
109.00,2.839744
110.01,2.840049
111.00,2.840965
112.02,2.843101
113.01,2.838523
114.01,2.839438
115.01,2.838523
116.01,2.839744
117.00,2.839438
118.02,2.839133
119.00,2.839133
120.01,2.836996
121.02,2.839133
122.01,2.838828
123.00,2.839133
124.02,2.834554
125.00,2.838217
126.01,2.833333
127.01,2.837912
128.01,2.835165
129.00,2.834860
130.00,2.834860
131.00,2.833028
132.01,2.833639
133.02,2.833639
134.01,2.834554
135.01,2.833944
136.01,2.833944
137.02,2.833028
138.01,2.834860
139.02,2.831807
140.01,2.832723
141.01,2.830586
142.02,2.828144
143.02,2.831197
144.00,2.828755
145.02,2.829060
146.02,2.829060
147.00,2.829365
148.02,2.830586
149.03,2.829365
150.00,2.829670
151.03,2.826618
152.03,2.828449
153.00,2.829060
154.03,2.828144
155.02,2.829060
156.02,2.826618
157.01,2.825397
158.03,2.826007
159.02,2.826007
160.03,2.824786
161.01,2.824176
162.03,2.825092
163.03,2.823260
164.03,2.824176
165.00,2.823260
166.03,2.824176
167.02,2.824481
168.01,2.823565
169.02,2.822649
170.03,2.824176
171.01,2.821429
172.00,2.821734
173.03,2.823260
174.00,2.821123
175.01,2.820208
176.03,2.818376
177.01,2.819292
178.00,2.818987
179.04,2.818681
180.00,2.819597
181.01,2.819292
182.03,2.818681
183.01,2.817460
184.04,2.819292
185.03,2.819597
186.03,2.817460
187.04,2.817155
188.01,2.816545
189.02,2.815324
190.01,2.815018
191.03,2.813797
192.03,2.813492
193.03,2.814103
194.03,2.811966
195.04,2.813492
196.01,2.809829
197.03,2.809219
198.00,2.811355
199.04,2.808608
200.03,2.811050
201.02,2.810134
202.02,2.809524
203.03,2.808303
204.04,2.809829
205.01,2.808608
206.03,2.806166
207.01,2.804335
208.04,2.808303
209.03,2.804945
210.02,2.805250
211.02,2.804029
212.02,2.804640
213.03,2.803724
214.04,2.804945
215.01,2.804335
216.03,2.802198
217.00,2.804335
218.03,2.803724
219.02,2.800366
220.00,2.803113
221.03,2.801587
222.02,2.798840
223.00,2.800061
224.03,2.799756
225.02,2.798840
226.00,2.798840
227.03,2.797924
228.02,2.799451
229.00,2.799145
230.03,2.795482
231.02,2.798229
